"Numeral" "ID" "PRESTADOR" "NIT" "EXPEDIENTES" "COD_DANE" "DPTO" "Municipio de Correspondencia" "SERVICIOS" "REPRESENTANTE LEGAL" "DIRECCION" "CORREO ELECTRONICO" "TELEFONO 1" "TELEFONO 2" "CELULAR" "CLASIFICACION" "AREA DE PRESTACION" "TIPO PRESTADOR" "ORDEN" "NATURALEZA JURIDICA" "CLASE" "FECHA DE INICIO DE ACTIVIDADES" "ACUEDUCTO CAPTACION" "ACUEDUCTO ADUCCION" "ACUEDUCTO TRATAMIENTO" "ACUEDUCTO ALMACENAMIENTO" "ACUEDUCTO CONDUCCION" "ACUEDUCTO DISTRIBUCION" "ACUEDUCTO COMERCIALIZACION" "ALCANTARILLADO RECOLECCION" "ALCANTARILLADO CONDUCCION DE RESIDUOS LIQUIDOS" "ALCANTARILLADO TRATAMIENTO" "ALCANTARILLADO DISPOSICION FINAL" "ALCANTARILLADO COMERCIALIZACION" "ASEO RECOLECCION Y TRANSPORTE" "ASEO BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "ASEO LAVADO DE AREAS PUBLICAS" "ASEO CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "ASEO APROVECHAMIENTO" "ASEO DISPOSICION FINAL" "ASEO LIMPIEZA DE PLAYAS" "ASEO TRANSFERENCIA" "ULTIMO TRAMITE RUPS" "MOTIVO" "ESTADO" "EN VIGILANCIA" "OBSERVACIONES" "Municipios Prestacion"
"1251" 22208 "EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DEL PARAJE LA LUISA" 8050105502 "2019460351701311E" 76001 "VALLE DEL CAUCA" "CALI" "ACUEDUCTO" "JORGE ARTURO GARCES FRANKY" "CORREGIMIENTO LA BUITRERA VEREDA LA LUISA CalleJON LA COLINA CASA 7" "acueductolaluisa@gmail.com" "5137033" 5137033 3044065819 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35839" "CAPTACION" "ADUCCION" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43521" "Actualizacion" "CERTIFICADA" "SI" NA "CALI"
"1252" 22209 "ASOCIACION DE USUARIOS DEL ACUEDUCTO MULTIVEREDAL SANTA ANA LOS CHOCHOS MUNICIPIO DE ANGOSTURA" 8110307703 "2019460351701312E" 5038 "ANTIOQUIA" "ANGOSTURA" "ACUEDUCTO" "tabares vasquez luz adriana" "parque principal palacio municipal" "asouso09@hotmail.com" "8645161" 8645161 3117268558 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "37102" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41172" "Actualizacion" "APROBADA" "SI" NA "ANGOSTURA"
"1253" 22210 "AGUAS DE BOGOTA S.A. ESP" 43530 "2019460351701313E" 25377 "D.C." "BOGOTA" "ACUEDUCTO" "JUAN MANUEL GARCIA BORRERO" "Avda Calle 24 No 37-15" "juan.garcia@aguasdebogota.com.co" "3447397" 3447000 0 "HASTA 2500 SUSCRIPTORES" "URBANO" "SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)" "0" "SOCIEDAD ANONIMA" "MIXTA" "40095" "0" "0" "0" "ALMACENAMIENTO" "0" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43522" "Actualizacion" "CERTIFICADA" "SI" NA "CHIPAQUE, CHOACHI, CAQUEZA, FOSCA, UNE, VILLA DE SAN DIEGO DE UBATE, LA CALERA, BOGOTA, D.C."
"1254" 22212 "ADMINISTRACION PUBLICA COOPERATIVA DE SERVICIOS PUBLICOS DE SAN VICENTE DE CHUCURI" 9002023401 "2019460351701314E" 68689 "SANTANDER" "SAN VICENTE DE CHUCURI" "ACUEDUCTO,ALCANTARILLADO,ASEO" "DURAN GUTIERREZ GABRIEL AMAURI" "Calle 11 No 14-01 CASA DE MERCADO TERCER PISO ofc 301001" "manantialesesp@gmail.com" "6256940" 6256490 3212301630 "MAS DE 2500 SUSCRIPTORES" "URBANO" "ORGANIZACION AUTORIZADA" "PRESTADOR EN MUNICIPIO MENOR" "COOPERATIVA" "PRIVADA" "40011" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "APROVECHAMIENTO" "DISPOSICION FINAL" "TRATAMIENTO" "TRANSFERENCIA" "43481" "Actualizacion" "CERTIFICADA" "SI" NA "SAN VICENTE DE CHUCURI"
"1255" 22225 "ASOCIACION DE USUARIOS DEL SERVICIO DE ACUEDUCTO DE LAS VEREDAS DE CHIGUALA SONSA Y GUANGUITA SECTOR EL ALTILLO MUNICIPIO DE VILLAPINZON" 8320052411 "2019460351701315E" 25873 "CUNDINAMARCA" "VILLAPINZON" "ACUEDUCTO" "CASALLAS LOPEZ JOSE DE JESUS" "Carrera 5 No 4-33 Villapinzon" "elisaoc12@hotmail.com" "8565125" 8632175 3102327527 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "36823" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43503" "Actualizacion" "CERTIFICADA" "SI" NA "VILLAPINZON"
"1256" 22229 "JUNTA ADMINISTRADORA ACUEDUCTO REGIONAL RIVERAS DEL GUARAPAS DE PITALITO HUILA" 8305022951 "2019460351701316E" 41551 "HUILA" "PITALITO" "ACUEDUCTO" "CHAVARRO TEJADA LUIS CARLOS" "VEREDA PARAISO CHARGUAYACO" "aguarapas@hotmail.com" "8363631" 8361524 3208749500 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "JUNTA ADMINISTRADORA" "PRIVADA" "39690" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41779" "Actualizacion" "APROBADA" "SI" NA "PITALITO"
"1257" 22235 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO TEATINOS PUENTE DE BOYACA DE LA VEREDA PUENTE DE BOYACA DEL MUNICIPIO DE VENTAQUEMADA" 8200007138 "2019460351701317E" 15861 "BOYACA" "VENTAQUEMADA" "ACUEDUCTO" "SOSA TORRES LUIS ALBERTO" "Calle 20 No 10-36 OFC 309" "aguateatinos@gmail.com" "7400171" 7400171 3143161202 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35494" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43649" "Actualizacion" "CERTIFICADA" "SI" NA "VENTAQUEMADA"
"1258" 22238 "MUNICIPIO DE GUACHENE" 9001271830 "2019460351701318E" 19300 "CAUCA" "GUACHENE" "ALCANTARILLADO,ASEO" "GONZALEZ BANGUERO JESUS ELVER" "Calle 4 No 5-15" "alcaldia@guachene-cauca.gov.co" "8259101" 8259105 0 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "39070" "0" "0" "0" "0" "0" "0" "0" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "DISPOSICION FINAL" "0" "0" "43193" "Actualizacion" "ASIGNADA" "SI" NA "GUACHENE"
"1259" 22239 "ACUEDUCTO VEREDA MEUSA ESP" 9001031719 "2019460351701319E" 25758 "CUNDINAMARCA" "SOPO" "ACUEDUCTO" "GUZMAN CASTIBLANCO LUIS HERNANDO" "SOPO VEREDA MEUSA" "acueductoveredalmeusa@hotmail.com" "8570656" 8570650 3132037193 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "38896" "CAPTACION" "0" "0" "0" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "40442" "Actualizacion" "APROBADA" "SI" NA "SOPO"
"1260" 22246 "ASOCIACION DE ASUARIOS ACUEDUCTO AGUAS CLARAS VEREDA OLARTE" 9001217248 "2019460351701320E" 11001 "D.C." "BOGOTA" "ACUEDUCTO" "LOPEZ PINZON LIBARDO" "VEREDA OLARTE Kilometro 3 5 USME" "lopezpinzonlibardo@hotmail.com" "7660997" 7660997 3164137415 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "39012" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42986" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "BOGOTA, D.C."
"1261" 22250 "EMPRESA DE SERVICIOS PUBLICOS DEL MUNICIPIO DE SANTANA EMSANTANA S.A E.S.P" 9001963777 "2019460351701321E" 15686 "BOYACA" "SANTANA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "PRADA ULLOA RONALD CAMILO" "Calle 4 NO 3-04" "emsantana.esp@hotmail.com" "7289393" 7289393 0 "HASTA 2500 SUSCRIPTORES" "URBANO" "SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)" "0" "SOCIEDAD ANONIMA" "MIXTA" "39630" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "0" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "APROVECHAMIENTO" "0" "0" "0" "42915" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "SANTANA"
"1262" 22255 "ASOCIACION DE SUSCRIPTORES DEL PROACUEDUCTO RUNTA ABAJO PARTE ORIENTAL DE LA CIRCUNVALAR MUNICIPIO DE TUNJA" 8200047666 "2019460351701322E" 15001 "BOYACA" "TUNJA" "ACUEDUCTO" "Sierra Rodriguez Jaime Euclides" "MANZANA 3 CASA 2 5TA ETAPA SAN FRANCISCO" "jaimesierra24@hotmail.es" "7408995" 7408637 3107777700 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "39440" "0" "0" "0" "0" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43236" "Actualizacion" "Pendiente de Revision" "SI" NA "TUNJA"
"1263" 22258 "ASOCIACION DE SERVICIOS PUBLICOS ALCANTARILLADO Y OTROS" 9002085104 "2019460351701323E" 76275 "VALLE DEL CAUCA" "FLORIDA" "ALCANTARILLADO" "LANDAZURI QUINONEZ LEDIS PASTOR" "Calle 7 No 4 71" "ledis55@hotmail.com" "2627198" 2627140 3206150307 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "39534" "0" "0" "0" "0" "0" "0" "0" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "41578" "Actualizacion" "APROBADA" "SI" NA "FLORIDA"
"1264" 22259 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO LA CAL" 9001466058 "2019460351701324E" 15204 "BOYACA" "COMBITA" "ACUEDUCTO" "ROJAS L FAUSTO FABIAN" "Personeria Municipal Combita" "rojasfabian85@gmail.com" "7310010" 7424334 3182771985 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "39131" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "40781" "Actualizacion" "APROBADA" "SI" NA "COMBITA"
"1265" 22260 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO CHINATA LA CAL CHIQUITA DE LA VEREDA SAN RAFAEL DEL MUNICIPIO DE COMBITA" 9000959568 "2019460351701325E" 15204 "BOYACA" "COMBITA" "ACUEDUCTO" "MEDINA RUIZ LUIS ENRIQUE" "Personeria Municipal Combita" "luisenriquemedinaruiz@yahoo.es" "7310010" 7424334 3123430599 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "38795" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43031" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "COMBITA"
"1266" 22263 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO EL CHORRO DE LA NINFA VEREDAS SAN RAFAEL Y OTRAS DEL MUNICIPIO DE COMBITA" 9000602925 "2019460351701326E" 15204 "BOYACA" "COMBITA" "ACUEDUCTO" "RAMOS QUIROGA SEGUNDO NICOLAS" "Personeria Municipal Combita" "aquachorro@hotmail.com" "7310010" 7424334 3102455025 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "38634" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43027" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "COMBITA"
"1267" 22277 "ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA EL LIMON" 9001543627 "2019460351701327E" 25662 "CUNDINAMARCA" "SAN JUAN DE RIO SECO" "ACUEDUCTO" "DELGADO GLADYS" "VEREDA EL LIMON ESCUELA VEREDAL" "acueductosveredales@yahoo.com" "8465052" 8468465 3118909738 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "38996" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "39616" "Inscripción" "APROBADA" "SI" NA "SAN JUAN DE RIOSECO"
"1268" 22291 "EMPRESAS PUBLICAS DE HATO COROZAL ACUEDUCTO ALCANTARILLADO GAS Y ASEO S.A E.S.P" 9002252459 "2019460351701329E" 85125 "CASANARE" "HATO COROZAL" "ACUEDUCTO,ALCANTARILLADO,ASEO" "SANCHEZ LOPEZ RAFAEL" "Carrera 9 12-09" "ephac.hatocorozal@gmail.com" "6378059" 6378059 3214533347 "HASTA 2500 SUSCRIPTORES" "URBANO" "SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)" "MUNICIPAL" "SOCIEDAD ANONIMA" "OFICIAL" "39630" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "0" "0" "43179" "Actualizacion" "Pendiente de Revision" "SI" NA "HATO COROZAL"
"1269" 22299 "ASOCIACION DE SUCRIPTORES DEL ACUEDUCTO REGIONAL COMBITA RED NUMERO 2 DEL MUNICIPIO DE COMBITA" 9000052004 "2019460351701330E" 15204 "BOYACA" "COMBITA" "ACUEDUCTO" "CARDENAS MORALES MARTIN VICENTE" "Calle 42A No 8A - 15 Tunja" "martinvicentecardenas@hotmail.com" "3125385" 3125385 3125385315 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35671" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43160" "Actualizacion" "Pendiente de Revision" "SI" NA "COMBITA"
"1270" 22300 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO EL CHUSCAL DE LA VEREDA DE SAN ISIDRO MUNICIPIO DE COMBITA" 9000687882 "2019460351701331E" 15204 "BOYACA" "TUNJA" "ACUEDUCTO" "CARDENAS SUAREZ JOSE OLIMPO" "Calle 42A No 8A - 15" "contactenos@combita-boyaca.gov.co" "7310010" 7310010 3118275531 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35624" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41199" "Actualizacion" "APROBADA" "SI" NA "COMBITA"
"1271" 22307 "ASOCIACION DE ACUEDUCTO Y ALCANTARILLADO SAN TROPEL" 8110454704 "2019460351701332E" 5055 "ANTIOQUIA" "ARGELIA" "ACUEDUCTO" "ARANGO GARCIA NELSON DE JESUS" "Carrera 31No 30-60" "narango3@gmail.com" "8650477" 8650149 3128926461 "HASTA 2500 SUSCRIPTORES" "URBANO" "ORGANIZACION AUTORIZADA" "PRESTADOR AREA O ZONA URBANA ESTRATO 1" "ASOCIACION DE USUARIOS" "PRIVADA" "37905" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "40163" "Actualizacion" "APROBADA" "SI" NA "ARGELIA"
"1272" 22313 "JUNTA ADMINISTRADORA DE ACUEDUCTO Y ALCANTARILLADO DEL CORREGIMIENTO DE SAN MARCOS" 9000367093 "2019460351701333E" 76892 "VALLE DEL CAUCA" "YUMBO" "ACUEDUCTO,ALCANTARILLADO" "OVIEDO VERGARA JESUS DAVID" "Calle 16 No 81 BN 09" "davidoviedo2@hotmail.com" "6930631" 4481057 3146158378 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "JUNTA ADMINISTRADORA" "PRIVADA" "38507" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "43642" "Actualizacion" "CERTIFICADA" "SI" NA "YUMBO"
"1273" 22317 "JUNTA DE ACCION COMUNAL DE LA VEREDA LA CHAPA" 9001938427 "2019460351701334E" 25200 "CUNDINAMARCA" "COGUA" "ACUEDUCTO,ALCANTARILLADO" "RODRIGUEZ GOMEZ RAFAEL ALFONSO" "VEREDA LA CHAPA" "acueductosveredales@yahoo.com" "8527016" 8528145 3108151668 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "JUNTA DE ACCION COMUNAL" "PRIVADA" "29241" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "40753" "Actualizacion" "APROBADA" "SI" NA "COGUA"
"1274" 22318 "ASOCIACION DESUSCRIPTORES DEL ACUEDUCTO JURACAMBITA ASAJ" 9002293082 "2019460351701335E" 15897 "BOYACA" "ZETAQUIRA" "ACUEDUCTO" "RIVERA TORRES JOSE HUMBERTO" "VEREDA JURACAMBITA" "acueductojuracambita@gmail.com" "0" 0 3205276545 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "39488" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "40779" "Inscripción" "APROBADA" "SI" NA "ZETAQUIRA"
"1275" 22325 "ASOCIACION DE USUARIOS LA PLAZUELA" 8320079749 "2019460351701336E" 25200 "CUNDINAMARCA" "COGUA" "ACUEDUCTO" "RODRIGUEZ RAFAEL" "CENTRO POBLADO LA PLAZUELA" "papuchis027@hotmail.com" "8548265" 8548121 3105611676 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "37304" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "42775" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "COGUA"
"1276" 22330 "EMPRESA DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DE GUAITARILLA" 9002291561 "2019460351701337E" 52320 "NARINO" "GUAITARILLA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "BASTIDAS PANTOJA EDWIN ALEXANDER" "Calle REAL" "empoguaitarilla@yahoo.com.co" "7433176" 7433272 3176384480 "HASTA 2500 SUSCRIPTORES" "URBANO" "EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO" "MUNICIPAL" "0" "MIXTA" "39630" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "APROVECHAMIENTO" "DISPOSICION FINAL" "TRATAMIENTO" "0" "42583" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "GUAITARILLA"
"1277" 22335 "ASOCIACION DE USUARIOS DEL ACUEDUCTO DEL CORREGIMIENTO DE VERSALLES" 8110121636 "2019460351701338E" 5679 "ANTIOQUIA" "SANTA BARBARA" "ACUEDUCTO,ALCANTARILLADO" "CASTANEDA QUICENO DIEGO LEON" "PARQUE PRINCIPAL CORREGIMIENTO DE VERSALLES" "acueductoversalles@hotmail.com" "8439242" 8439467 3136972313 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35663" "CAPTACION" "0" "0" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "41172" "Actualizacion" "APROBADA" "SI" NA "SANTA BARBARA"
"1278" 22344 "JUNTA ADMINISTRADORA DE ACUEDUCTO Y ALCANTARILLADO DE LA SECCION SAN LUIS DEL MUNICIPIO DE ALDANA" 8140073285 "2019460351701339E" 52022 "NARINO" "ALDANA" "ACUEDUCTO,ALCANTARILLADO" "MONTENEGRO GAVIRIA SERVIO TULIO" "Carrera 1 No 3-11 AV AEROPUERTO" "acuasanluis2009@hotmail.com" "7739717" 7739717 3164275488 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "JUNTA ADMINISTRADORA" "PRIVADA" "38230" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "42186" "Actualizacion" "APROBADA" "SI" NA "ALDANA"
"1279" 22346 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO DE LA VEREDA CHITAL CENTRO DEL MUNICIPIO DE CERINZA BOYACA" 9000430260 "2019460351701340E" 15162 "BOYACA" "CERINZA" "ACUEDUCTO" "CORREDOR REYES ELSA JULIANA" "VEREDA CHITAL" "julianacorredor2010@hotmail.com" "0" 0 3143172739 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35628" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "40781" "Actualizacion" "APROBADA" "SI" NA "CERINZA"
